path,original_path,original_dimensions,web_dimensions,original_size_mb,web_size_mb
merchants/Paya/atmosphere/paya-garden-evening-01.jpg,merchants/Paya/atmosphere/paya-garden-evening-01.jpeg,3120x4160,1800x2400,2.3,1.2
merchants/Paya/branding/paya-logo.jpg,merchants/Paya/branding/paya-logo.jpg,1280x1280,1280x1280,0.04,0.04
merchants/Paya/drinks/paya-milkshake-01.jpg,merchants/Paya/drinks/paya-milkshake-01.jpg,2405x3600,1600x2395,1.7,0.69
merchants/Paya/drinks/paya-milkshake-02.jpg,merchants/Paya/drinks/paya-milkshake-02.jpg,2405x3600,1600x2395,1.82,0.68
merchants/Paya/exterior/paya-exterior-sign-roadside-01.jpg,merchants/Paya/exterior/paya-exterior-sign-roadside-01.jpeg,3120x4160,1800x2400,3.11,1.32
merchants/Paya/food/paya-burger-beer-fries-01.jpg,merchants/Paya/food/paya-burger-beer-fries-01.jpg,2405x3600,1800x2694,1.04,0.5
merchants/Paya/food/paya-burger-beer-fries-02.jpg,merchants/Paya/food/paya-burger-beer-fries-02.jpg,2141x3600,1800x3026,1.33,0.83
merchants/Paya/food/paya-burger-closeup-01.jpg,merchants/Paya/food/paya-burger-closeup-01.jpg,2404x3600,1800x2695,1.07,0.53
merchants/Paya/food/paya-burger-closeup-02.jpg,merchants/Paya/food/paya-burger-closeup-02.jpg,2286x3600,1800x2834,0.81,0.44
merchants/Paya/food/paya-burger-fries-01.jpg,merchants/Paya/food/paya-burger-fries-01.jpg,2329x3600,1800x2782,0.97,0.51
merchants/Paya/food/paya-burger-fries-02.jpg,merchants/Paya/food/paya-burger-fries-02.jpg,2405x3600,1800x2694,1.15,0.55
merchants/Paya/food/paya-burger-fries-03.jpg,merchants/Paya/food/paya-burger-fries-03.jpg,3740x5610,1800x2700,15.27,0.5
merchants/Paya/food/paya-burger-milkshake-01.jpg,merchants/Paya/food/paya-burger-milkshake-01.jpg,2405x3600,1800x2694,1.44,0.7
merchants/Paya/food/paya-burger-milkshake-fries-01.jpg,merchants/Paya/food/paya-burger-milkshake-fries-01.jpg,2217x3600,1800x2922,1.36,0.78
merchants/Paya/food/paya-burger-milkshake-fries-02.jpg,merchants/Paya/food/paya-burger-milkshake-fries-02.jpg,2405x3600,1800x2694,1.22,0.58
merchants/Paya/food/paya-burger-milkshake-overhead-01.jpg,merchants/Paya/food/paya-burger-milkshake-overhead-01.jpg,2405x3600,1800x2694,1.9,0.92
merchants/Paya/food/paya-burger-tropical-drink-01.jpg,merchants/Paya/food/paya-burger-tropical-drink-01.jpg,1589x2383,1589x2383,1.32,0.37
merchants/Paya/food/paya-burger-wine-01.jpg,merchants/Paya/food/paya-burger-wine-01.jpg,3828x5742,1800x2700,16.37,0.7
merchants/Paya/food/paya-cheese-melt-burger-01.jpg,merchants/Paya/food/paya-cheese-melt-burger-01.jpg,2405x3600,1800x2694,1.57,0.7
merchants/Paya/food/paya-dessert-slice-01.jpg,merchants/Paya/food/paya-dessert-slice-01.jpg,3787x5681,1800x2700,19.13,0.66
merchants/Paya/food/paya-grilled-steak-01.jpg,merchants/Paya/food/paya-grilled-steak-01.jpg,3613x5419,1800x2699,18.6,1.09
merchants/Paya/food/paya-handheld-burger-01.jpg,merchants/Paya/food/paya-handheld-burger-01.jpg,3848x5773,1800x2700,13.52,0.32
merchants/Paya/food/paya-signature-burger-01.jpg,merchants/Paya/food/paya-signature-burger-01.jpg,3899x5933,1800x2739,12.63,0.31
merchants/Paya/food/paya-sushi-roll-01.jpg,merchants/Paya/food/paya-sushi-roll-01.jpg,3705x5558,1800x2700,22.49,0.98
merchants/Paya/food/paya-sushi-roll-02.jpg,merchants/Paya/food/paya-sushi-roll-02.jpg,3906x5860,1800x2700,25.66,0.91
merchants/Paya/food/paya-wings-beer-01.jpg,merchants/Paya/food/paya-wings-beer-01.jpg,3772x5658,1800x2700,13.56,0.48
merchants/Paya/food/paya-wings-sauce-01.jpg,merchants/Paya/food/paya-wings-sauce-01.jpg,3299x4949,1800x2700,13.46,0.65
merchants/Paya/hero/paya-hero-patio-evening-01.jpg,merchants/Paya/hero/paya-hero-patio-evening-01.jpeg,3120x4160,2400x3200,2.19,1.73
merchants/Paya/hero/paya-hero-table-spread-01.jpg,merchants/Paya/hero/paya-hero-table-spread-01.jpg,5566x3711,2400x1600,20.23,0.84
merchants/Paya/interior/paya-open-air-dining-01.jpg,merchants/Paya/interior/paya-open-air-dining-01.jpeg,3024x4032,1800x2400,2.75,1.24
